name,score,defaults,type
Mohammad Hertel,10,0,Zahlt zurück
Ilias Ehmann,20,0,Zahlt zurück
Walli Steinmüller,100,0,Zahlt zurück
Walli Neumüller,90,0,Zahlt zurück
Rocco Georg,90,0,Zahlt zurück
Vittorio Daniel,90,0,Zahlt zurück
Luciano Spitz,30,0,Zahlt zurück
Hansjoachim Stenzel,10,0,Zahlt zurück
Paola Rauer,50,0,Zahlt zurück
Ljubica Blumenthal,40,0,Zahlt zurück
Hedda Maisch,90,0,Zahlt zurück
Giovanni De Vries,40,0,Zahlt zurück
Stefanie Droste,30,0,Zahlt zurück
Carlos Sperlich,90,0,Zahlt zurück
Ada Geier,10,0,Zahlt zurück
Klaus-Michael Schäffer,20,0,Zahlt zurück
Eugenie Schwenke,10,0,Zahlt zurück
John Klostermann,100,0,Zahlt zurück
Muzaffer Denk,60,0,Zahlt zurück
Sigismund Dreier,90,0,Zahlt zurück
Meta Rohe,10,0,Zahlt zurück
Gertraude Sebastian,90,0,Zahlt zurück
Claus Fuß,60,0,Zahlt zurück
Florentine Rother,20,0,Zahlt zurück
Giesela Höppner,60,0,Zahlt zurück
Aneta Siemens,90,0,Zahlt zurück
Grete Eberhard,100,0,Zahlt zurück
Angelique Wiest,70,0,Zahlt zurück
Sarina Großmann,60,0,Zahlt zurück
Arne Thieme,30,0,Zahlt zurück
Nikolaos Reich,40,0,Zahlt zurück
Denise Scheck,90,0,Zahlt zurück
Marian Kloos,90,0,Zahlt zurück
Sebastian Dogan,40,0,Zahlt zurück
Waldemar Matheis,10,1,Zahlt nicht zurück
Jeannine Helms,40,0,Zahlt zurück
Friedbert Wittig,100,0,Zahlt zurück
Elfriede Gölz,30,0,Zahlt zurück
Liesbeth Baum,80,0,Zahlt zurück
Hans-Henning Strobel,10,0,Zahlt zurück
Pedro Mathes,20,0,Zahlt zurück
Mina Stein,60,0,Zahlt zurück
Wulf Merkle,30,0,Zahlt zurück
Petar Scheller,80,0,Zahlt zurück
Albin Börger,90,0,Zahlt zurück
José Kunert,60,0,Zahlt zurück
Sebastian Schneider,100,0,Zahlt zurück
Achim Stelter,10,1,Zahlt nicht zurück
Urszula Ilg,60,0,Zahlt zurück
Elwira Thielemann,20,0,Zahlt zurück
Agnieszka Rosenbaum,50,0,Zahlt zurück
Paula Neubauer,60,0,Zahlt zurück
Heinz-Günther Klingenberg,30,0,Zahlt zurück
Annita Kopp,50,0,Zahlt zurück
Apollonia Bitzer,50,0,Zahlt zurück
Irmtraud Neumaier,80,0,Zahlt zurück
Leokadia Ullmann,30,0,Zahlt zurück
Dorota Klingler,70,0,Zahlt zurück
Arndt Schlecht,80,0,Zahlt zurück
Chris Süß,50,0,Zahlt zurück
Kassandra Hertel,60,0,Zahlt zurück
Ramon Brandenburg,60,0,Zahlt zurück
Gudrun Heitmann,90,0,Zahlt zurück
Valerij Armbruster,30,0,Zahlt zurück
Serpil Hörner,20,0,Zahlt zurück
Bernt Bernard,10,0,Zahlt zurück
Waltraut Junghans,10,0,Zahlt zurück
Ingolf Opitz,40,0,Zahlt zurück
Steffi Grosse,10,0,Zahlt zurück
Leonardo Krüger,60,0,Zahlt zurück
Sandro Schiefer,30,0,Zahlt zurück
Jens-Uwe Ring,90,0,Zahlt zurück
Baldur Mittag,60,0,Zahlt zurück
Lieselotte Kistner,40,0,Zahlt zurück
Gundula Wedekind,30,1,Zahlt nicht zurück
Czeslaw Hennig,60,0,Zahlt zurück
Fatima Franke,40,0,Zahlt zurück
Kira Weinert,90,0,Zahlt zurück
Gretchen Böhringer,30,0,Zahlt zurück
Karl Glaß,40,0,Zahlt zurück
Hermine Barthel,50,0,Zahlt zurück
Laurenz Toth,40,0,Zahlt zurück
Petra Gehlen,40,0,Zahlt zurück
Brunhild Störmer,100,0,Zahlt zurück
Walfried Schäffler,50,0,Zahlt zurück
Ali Glück,40,0,Zahlt zurück
Jose Buchwald,100,0,Zahlt zurück
Alina Junk,20,0,Zahlt zurück
Kenan Forster,90,0,Zahlt zurück
Uschi Hecht,40,0,Zahlt zurück
Moritz Sedlmeier,30,0,Zahlt zurück
Stephanie Röhm,80,0,Zahlt zurück
Manuel Werle,80,0,Zahlt zurück
Manfred Klingenberg,80,0,Zahlt zurück
Dominik Mauch,70,0,Zahlt zurück
Eileen Platz,30,0,Zahlt zurück
Alicia Knüppel,40,0,Zahlt zurück
Geert Markert,70,0,Zahlt zurück
Constanze Schüler,20,1,Zahlt nicht zurück
Eleonore Ganz,20,0,Zahlt zurück
