name,score,defaults,type
Annika Ohm,50,0,Zahlt zurück
Thilo Eger,100,0,Zahlt zurück
Raymond Dannenberg,10,0,Zahlt zurück
Loni Thelen,30,0,Zahlt zurück
Mina Thiemann,70,0,Zahlt zurück
Fatih Möllers,20,0,Zahlt zurück
Sylke Ziemer,60,0,Zahlt zurück
Hedwig Menzel,70,0,Zahlt zurück
Gabriella Türk,80,0,Zahlt zurück
Ralph Kolbeck,40,0,Zahlt zurück
Bernadette Glöckner,80,0,Zahlt zurück
Riza Weimann,30,0,Zahlt zurück
Chris Helmke,60,0,Zahlt zurück
Stefano Weise,20,0,Zahlt zurück
Marjan Specht,50,0,Zahlt zurück
Yasmin Scheerer,60,0,Zahlt zurück
Sönke Mertes,20,0,Zahlt zurück
Britt Ruhland,20,0,Zahlt zurück
Jessica Schreiter,40,0,Zahlt zurück
Harriet Roth,50,0,Zahlt zurück
Peter Jänicke,60,0,Zahlt zurück
Telse Reil,20,0,Zahlt zurück
Margaretha Langguth,20,0,Zahlt zurück
Karl-Hans Bendel,10,0,Zahlt zurück
Hanns Hägele,40,0,Zahlt zurück
Kirstin Hauser,80,0,Zahlt zurück
Thaddäus Heber,50,0,Zahlt zurück
Alberto Sinn,90,0,Zahlt zurück
Hanne Kretschmer,20,0,Zahlt zurück
Calogero Reichenbach,10,0,Zahlt zurück
Laszlo Roll,60,0,Zahlt zurück
Annegret Johannes,80,0,Zahlt zurück
Hans-Theo Helfrich,80,0,Zahlt zurück
Hans-Helmut Schnitzler,20,0,Zahlt zurück
Fiete Neuner,80,0,Zahlt zurück
Rotraut Vogel,10,0,Zahlt zurück
Joana Uhl,100,0,Zahlt zurück
Milos Damm,70,0,Zahlt zurück
Elenore Schwind,30,0,Zahlt zurück
Stefani Lenk,50,0,Zahlt zurück
Silvester Patzelt,40,0,Zahlt zurück
Anna-Marie Weigl,60,0,Zahlt zurück
Pero Breitenbach,100,0,Zahlt zurück
Engin Denk,20,0,Zahlt zurück
Istvan Beckers,90,0,Zahlt zurück
Paul-Gerhard Mattes,30,0,Zahlt zurück
Hanno Haak,40,0,Zahlt zurück
Hartmut Kolberg,100,0,Zahlt zurück
Luka Siepmann,90,0,Zahlt zurück
August Hamann,70,0,Zahlt zurück
Nurten Jörg,80,0,Zahlt zurück
Selim Bernard,80,0,Zahlt zurück
Johan Heinke,10,0,Zahlt zurück
Larissa Ludewig,90,0,Zahlt zurück
Wolf Schepers,100,0,Zahlt zurück
Victoria Petry,50,0,Zahlt zurück
Dragica Heumann,50,0,Zahlt zurück
Carla Kohl,90,0,Zahlt zurück
Ludwina Pahl,70,0,Zahlt zurück
Almuth Eberhard,60,0,Zahlt zurück
Marie-Louise Bucher,80,0,Zahlt zurück
Marliese Bühler,70,0,Zahlt zurück
Leif Andreas,60,0,Zahlt zurück
Verena Prause,50,0,Zahlt zurück
Joerg Schweizer,60,0,Zahlt zurück
Julie Utz,90,0,Zahlt zurück
Christina Emmerich,90,0,Zahlt zurück
Fernando Niermann,100,0,Zahlt zurück
Christian Goll,90,0,Zahlt zurück
Irene Schopf,10,1,Zahlt nicht zurück
Kassandra Heldt,30,0,Zahlt zurück
Karl-Jürgen Glöckner,70,0,Zahlt zurück
Olivia Dorsch,30,0,Zahlt zurück
Fred Jörg,90,0,Zahlt zurück
Janus Düring,30,0,Zahlt zurück
Mia Pelzer,20,1,Zahlt nicht zurück
Marisa Habel,80,0,Zahlt zurück
Friederike Bracht,90,0,Zahlt zurück
Wiebke Kramer,80,0,Zahlt zurück
Susann Würfel,10,0,Zahlt zurück
Willibald Thom,100,0,Zahlt zurück
Jana Rohrer,70,0,Zahlt zurück
Sybille Bühler,100,0,Zahlt zurück
Carla Mangold,70,0,Zahlt zurück
Charles Dahlke,60,0,Zahlt zurück
Mathias Denk,10,0,Zahlt zurück
Geraldine Olbrich,90,0,Zahlt zurück
Sascha Schmieder,60,0,Zahlt zurück
Irmi Schnelle,50,0,Zahlt zurück
Christina Heinze,60,0,Zahlt zurück
Klothilde Krumm,60,0,Zahlt zurück
Anneke Starke,80,0,Zahlt zurück
Bruni Knobloch,50,0,Zahlt zurück
Marietta Stöber,50,0,Zahlt zurück
Tatiana Zeller,80,0,Zahlt zurück
Ortwin Pfeifer,90,0,Zahlt zurück
Dajana Buschmann,30,0,Zahlt zurück
Theres Kaufhold,50,0,Zahlt zurück
Friedhelm Mandel,70,0,Zahlt zurück
Polina Günzel,40,0,Zahlt zurück
